朝日放送,あさひほうそう
怒髪,どはつ,怒髪天を衝く,どはつてんをつく
ポタリング,ぽたりんぐ
青の時代,あおのじだい
Android,アンドロイド,あんどろいど
メトロノーム,めとろのーむ
ケロイド,けろいど,蟹足腫,かいそくしゅ
クリンチ,くりんち
落款,らっかん
イオラニ宮殿,いおらにきゅうでん
中村草田男,なかむらくさたお
カーテンコール,かーてんこーる,カーテン,かーてん
狛犬,こまいぬ
ルピー,るぴー
さだまさし
金輪際,こんりんざい
ヴァン・アレン帯,ヴァンアレン帯,ヴぁん・あれんたい,ヴぁんあれんたい
10,10年,10年間,１０,１０年,１０年間
鮭,さけ
横浜市,よこはまし
ウィリアムズ,うぃりあむず,Williams,williams
那須与一,なすのよいち
ノーモアベット,のーもあべっと,No more bet.,no more bet.,No more bet,no more bet
フランス,ふらんす
煮ても焼いても食えぬ,煮ても焼いても食えない,にてもやいてもくえぬ,にてもやいてもくえない
みなみじゅうじ座,みなみじゅうじざ,南十字座
キキ,きき
正方行列,せいほうぎょうれつ
銀シャリ,ぎんしゃり
オードブル,おーどぶる
